      Step     Time          Energy          fmax
BFGS:    0 01:56:09     -105.803550        0.276989
BFGS:    1 01:56:09     -105.812595        0.227002
BFGS:    2 01:56:12     -105.834819        0.101648
BFGS:    3 01:56:14     -105.836004        0.090947
BFGS:    4 01:56:14     -105.840530        0.026887
BFGS:    5 01:56:17     -105.840634        0.012883
BFGS:    6 01:56:29     -105.840672        0.010336
BFGS:    7 01:56:29     -105.840696        0.009564
BFGS:    8 01:56:29     -105.840730        0.010558
BFGS:    9 01:56:29     -105.840745        0.007870
BFGS:   10 01:56:29     -105.840749        0.003538
BFGS:   11 01:56:30     -105.840750        0.002478
BFGS:   12 01:56:30     -105.840753        0.003144
BFGS:   13 01:56:30     -105.840755        0.002595
BFGS:   14 01:56:30     -105.840756        0.001499
BFGS:   15 01:56:30     -105.840756        0.000351
Printing Mismatched Indices (there should be only one):
      Step     Time          Energy          fmax
BFGS:    0 01:56:30      -99.379792        0.661563
BFGS:    1 01:56:30      -99.404038        0.500672
BFGS:    2 01:56:30      -99.452527        0.297160
BFGS:    3 01:56:30      -99.461915        0.280555
BFGS:    4 01:56:30      -99.481581        0.192826
BFGS:    5 01:56:30      -99.485018        0.113584
BFGS:    6 01:56:31      -99.486860        0.093542
BFGS:    7 01:56:31      -99.488335        0.072118
BFGS:    8 01:56:31      -99.489655        0.090478
BFGS:    9 01:56:31      -99.490343        0.066381
BFGS:   10 01:56:31      -99.490631        0.035248
BFGS:   11 01:56:31      -99.490801        0.029284
BFGS:   12 01:56:31      -99.490960        0.024254
BFGS:   13 01:56:31      -99.491070        0.022786
BFGS:   14 01:56:31      -99.491123        0.017096
BFGS:   15 01:56:31      -99.491149        0.010828
BFGS:   16 01:56:31      -99.491169        0.010971
BFGS:   17 01:56:31      -99.491186        0.011250
BFGS:   18 01:56:32      -99.491197        0.007031
BFGS:   19 01:56:32      -99.491201        0.003925
BFGS:   20 01:56:32      -99.491204        0.003007
BFGS:   21 01:56:32      -99.491205        0.003132
BFGS:   22 01:56:32      -99.491206        0.002300
BFGS:   23 01:56:32      -99.491207        0.001614
BFGS:   24 01:56:32      -99.491207        0.001412
BFGS:   25 01:56:32      -99.491207        0.001404
BFGS:   26 01:56:32      -99.491207        0.000978
BFGS:   27 01:56:32      -99.491208        0.000967
BFGS:   28 01:56:32      -99.491208        0.000807
BFGS:   29 01:56:33      -99.491208        0.001118
BFGS:   30 01:56:33      -99.491208        0.001026
BFGS:   31 01:56:33      -99.491208        0.000756
BFGS:   32 01:56:33      -99.491208        0.000585
BFGS:   33 01:56:33      -99.491208        0.000465
BFGS:   34 01:56:33      -99.491208        0.000360
BFGS:   35 01:56:33      -99.491208        0.000494
BFGS:   36 01:56:33      -99.491208        0.000442
BFGS:   37 01:56:33      -99.491208        0.000225
BFGS:   38 01:56:33      -99.491208        0.000140
BFGS:   39 01:56:33      -99.491208        0.000122
BFGS:   40 01:56:33      -99.491208        0.000128
BFGS:   41 01:56:34      -99.491208        0.000111
BFGS:   42 01:56:34      -99.491208        0.000096
BFGS:   43 01:56:34      -99.491208        0.000075
BFGS:   44 01:56:34      -99.491208        0.000093
BFGS:   45 01:56:34      -99.491208        0.000085
BFGS:   46 01:56:34      -99.491208        0.000049
BFGS:   47 01:56:34      -99.491208        0.000032
BFGS:   48 01:56:34      -99.491208        0.000026
BFGS:   49 01:56:34      -99.491208        0.000025
BFGS:   50 01:56:34      -99.491208        0.000026
BFGS:   51 01:56:34      -99.491208        0.000019
BFGS:   52 01:56:35      -99.491208        0.000009
      Step     Time          Energy          fmax
BFGS:    0 01:56:35      -99.379792        0.661563
BFGS:    1 01:56:35      -99.404038        0.500672
BFGS:    2 01:56:35      -99.452527        0.297160
BFGS:    3 01:56:35      -99.461915        0.280555
BFGS:    4 01:56:35      -99.481581        0.192826
BFGS:    5 01:56:35      -99.485018        0.113584
BFGS:    6 01:56:35      -99.486860        0.093542
BFGS:    7 01:56:35      -99.488335        0.072118
BFGS:    8 01:56:35      -99.489655        0.090478
BFGS:    9 01:56:35      -99.490343        0.066381
BFGS:   10 01:56:36      -99.490631        0.035248
BFGS:   11 01:56:36      -99.490801        0.029284
BFGS:   12 01:56:36      -99.490960        0.024254
BFGS:   13 01:56:36      -99.491070        0.022786
BFGS:   14 01:56:36      -99.491123        0.017096
BFGS:   15 01:56:36      -99.491149        0.010828
BFGS:   16 01:56:36      -99.491169        0.010971
BFGS:   17 01:56:36      -99.491186        0.011250
BFGS:   18 01:56:36      -99.491197        0.007031
BFGS:   19 01:56:36      -99.491201        0.003925
BFGS:   20 01:56:36      -99.491204        0.003007
BFGS:   21 01:56:36      -99.491205        0.003132
BFGS:   22 01:56:37      -99.491206        0.002300
BFGS:   23 01:56:37      -99.491207        0.001614
BFGS:   24 01:56:37      -99.491207        0.001412
BFGS:   25 01:56:37      -99.491207        0.001404
BFGS:   26 01:56:37      -99.491207        0.000978
BFGS:   27 01:56:37      -99.491208        0.000967
BFGS:   28 01:56:37      -99.491208        0.000807
BFGS:   29 01:56:37      -99.491208        0.001118
BFGS:   30 01:56:37      -99.491208        0.001026
BFGS:   31 01:56:37      -99.491208        0.000756
BFGS:   32 01:56:37      -99.491208        0.000585
BFGS:   33 01:56:37      -99.491208        0.000465
BFGS:   34 01:56:38      -99.491208        0.000360
BFGS:   35 01:56:38      -99.491208        0.000494
BFGS:   36 01:56:38      -99.491208        0.000442
BFGS:   37 01:56:38      -99.491208        0.000225
BFGS:   38 01:56:38      -99.491208        0.000140
BFGS:   39 01:56:38      -99.491208        0.000122
BFGS:   40 01:56:38      -99.491208        0.000128
BFGS:   41 01:56:38      -99.491208        0.000111
BFGS:   42 01:56:38      -99.491208        0.000096
BFGS:   43 01:56:38      -99.491208        0.000075
BFGS:   44 01:56:38      -99.491208        0.000093
BFGS:   45 01:56:39      -99.491208        0.000085
BFGS:   46 01:56:39      -99.491208        0.000049
BFGS:   47 01:56:39      -99.491208        0.000032
BFGS:   48 01:56:39      -99.491208        0.000026
BFGS:   49 01:56:39      -99.491208        0.000025
BFGS:   50 01:56:39      -99.491208        0.000026
BFGS:   51 01:56:39      -99.491208        0.000019
BFGS:   52 01:56:39      -99.491208        0.000009
      Step     Time          Energy          fmax
BFGS:    0 01:57:55      -99.491208        0.000009
Neb Finished!
      Step     Time          Energy          fmax
BFGS:    0 01:58:13     -105.803550        0.276989
BFGS:    1 01:58:13     -105.812595        0.227002
BFGS:    2 01:58:16     -105.834819        0.101648
BFGS:    3 01:58:18     -105.836004        0.090947
BFGS:    4 01:58:18     -105.840530        0.026887
BFGS:    5 01:58:21     -105.840634        0.012883
BFGS:    6 01:58:21     -105.840672        0.010336
BFGS:    7 01:58:21     -105.840696        0.009564
BFGS:    8 01:58:21     -105.840730        0.010558
BFGS:    9 01:58:21     -105.840745        0.007870
BFGS:   10 01:58:21     -105.840749        0.003538
BFGS:   11 01:58:21     -105.840750        0.002478
BFGS:   12 01:58:22     -105.840753        0.003144
BFGS:   13 01:58:22     -105.840755        0.002595
BFGS:   14 01:58:22     -105.840756        0.001499
BFGS:   15 01:58:22     -105.840756        0.000351
Printing Mismatched Indices (there should be only one):
Index:  1
      Step     Time          Energy          fmax
BFGS:    0 01:58:22      -99.379792        0.661563
BFGS:    1 01:58:22      -99.404038        0.500672
BFGS:    2 01:58:22      -99.452527        0.297160
BFGS:    3 01:58:22      -99.461915        0.280555
BFGS:    4 01:58:22      -99.481581        0.192826
BFGS:    5 01:58:22      -99.485018        0.113584
BFGS:    6 01:58:22      -99.486860        0.093542
BFGS:    7 01:58:23      -99.488335        0.072118
BFGS:    8 01:58:23      -99.489655        0.090478
BFGS:    9 01:58:23      -99.490343        0.066381
BFGS:   10 01:58:23      -99.490631        0.035248
BFGS:   11 01:58:23      -99.490801        0.029284
BFGS:   12 01:58:23      -99.490960        0.024254
BFGS:   13 01:58:23      -99.491070        0.022786
BFGS:   14 01:58:23      -99.491123        0.017096
BFGS:   15 01:58:23      -99.491149        0.010828
BFGS:   16 01:58:23      -99.491169        0.010971
BFGS:   17 01:58:23      -99.491186        0.011250
BFGS:   18 01:58:24      -99.491197        0.007031
BFGS:   19 01:58:24      -99.491201        0.003925
BFGS:   20 01:58:24      -99.491204        0.003007
BFGS:   21 01:58:24      -99.491205        0.003132
BFGS:   22 01:58:24      -99.491206        0.002300
BFGS:   23 01:58:24      -99.491207        0.001614
BFGS:   24 01:58:24      -99.491207        0.001412
BFGS:   25 01:58:24      -99.491207        0.001404
BFGS:   26 01:58:24      -99.491207        0.000978
